Year,Month,Day,Open,Close,Volume,Range,Close_T1,Close_T2,Close_T3,Return,MovAverage,MovVol
2011,3,10,49.874287,49.524284,126884800,0.695717,50.352856,50.822857,50.765713,-0.016455313,-0.001861815,0.001281672
2011,3,11,49.332859,50.284286,117770100,1.045716,49.524284,50.352856,50.822857,0.015346047,-0.001503598,0.001265748
2011,3,14,50.454285,50.508572,108989300,0.738572,50.284286,49.524284,50.352856,0.00446036,-0.0028398,0.001297919
2011,3,15,48.871429,49.347141,180270300,1.105717,50.508572,50.284286,49.524284,-0.02299473,-0.002821875,0.001194771
2011,3,16,48.857143,47.144287,290502800,2.39143,49.347141,50.508572,50.284286,-0.044639952,-0.001192535,0.000998383
2011,3,17,48.118572,47.805714,164855600,1.278569,47.144287,49.347141,50.508572,0.014029844,0.000407588,0.000908773
2011,3,18,48.16143,47.238571,188303500,1.171428,47.805714,47.144287,49.347141,-0.011863498,-0.000971019,0.00091341
2011,3,21,47.998573,48.471428,102350500,0.639999,47.238571,47.805714,47.144287,0.026098524,0.000232302,0.000838485
2011,3,22,48.937141,48.742859,81480700,0.497143,48.471428,47.238571,47.805714,0.005599814,-0.000148077,0.000832338
2011,3,23,48.468571,48.455715,93249100,0.609997,48.742859,48.471428,47.238571,-0.005890996,0.000226557,0.000807013
2011,3,24,48.835712,49.281429,101178000,1.019997,48.455715,48.742859,48.471428,0.017040591,0.001659972,0.000891009
2011,3,25,49.724285,50.220001,112227500,0.719998,49.281429,48.455715,48.742859,0.019045146,0.001162175,0.001088327
2011,3,28,50.450001,50.062859,77338800,0.554283,50.220001,49.281429,48.455715,-0.003129072,-9.41119E-05,0.001318592
2011,3,29,49.665714,50.137142,88225200,0.700001,50.062859,50.220001,49.281429,0.001483795,1.81984E-05,0.001406452
2011,3,30,50.091427,49.804287,82351500,0.491428,50.137142,50.062859,50.220001,-0.006638891,-0.000514845,0.001501347
2011,3,31,49.48,49.787144,68504800,0.534287,49.804287,50.137142,50.062859,-0.000344207,0.000265467,0.001528804
2011,4,1,50.158573,49.222858,104665400,1.184284,49.787144,49.804287,50.137142,-0.01133397,-0.000241757,0.001532192
2011,4,4,49.187141,48.741428,115021200,0.885716,49.222858,49.787144,49.804287,-0.009780619,0.000561989,0.001529938
2011,4,5,48.14143,48.412857,120682800,0.892857,48.741428,49.222858,49.787144,-0.006741103,0.00121509,0.001530471
2011,4,6,48.745716,48.291428,100634800,0.965714,48.412857,48.741428,49.222858,-0.002508197,0.001151947,0.001524254
2011,4,7,48.299999,48.297142,93361800,0.628574,48.291428,48.412857,48.741428,0.000118323,0.001259028,0.001525494
2011,4,8,48.560001,47.865715,94383800,0.885715,48.297142,48.291428,48.412857,-0.008932765,0.001382516,0.001551534
2011,4,11,47.722858,47.257141,99736700,0.807144,47.865715,48.297142,48.291428,-0.012714194,0.002061325,0.001560077
2011,4,12,47.212856,47.485714,106409800,0.504284,47.257141,47.865715,48.297142,0.004836793,0.002364246,0.001520433
2011,4,13,47.860001,48.01857,86555000,0.517143,47.485714,47.257141,47.865715,0.011221396,0.002043408,0.001447915
2011,4,14,47.828571,47.488571,75450200,0.562859,48.01857,47.485714,47.257141,-0.011037376,0.000675034,0.00134822
2011,4,15,47.614285,46.779999,113401400,0.977142,47.488571,48.01857,47.485714,-0.014920895,0.0001937,0.001289313
2011,4,18,46.585712,47.407143,152474700,1.724286,46.779999,47.488571,48.01857,0.013406242,0.001309975,0.00125522
2011,4,19,47.585712,48.265713,104844600,0.895714,47.407143,46.779999,47.488571,0.018110562,0.001199989,0.001118948
2011,4,20,49.072857,48.915714,175166600,0.607144,48.265713,47.407143,46.779999,0.013467138,0.000430056,0.001001064
2011,4,21,50.714287,50.099998,188452600,0.944287,48.915714,48.265713,47.407143,0.024210707,-0.000953776,0.000996321
2011,4,25,50.048573,50.43,66636500,0.492855,50.099998,48.915714,48.265713,0.006586867,-0.002223154,0.000985739
2011,4,26,50.517143,50.060001,84700000,0.805713,50.43,50.099998,48.915714,-0.007336883,-0.002851519,0.000978872
2011,4,27,50.32,50.021427,89053300,0.75,50.060001,50.43,50.099998,-0.000770555,-0.001844175,0.001004433
2011,4,28,49.455715,49.535713,90239800,0.604286,50.021427,50.060001,50.43,-0.009710119,-0.002059163,0.001002672
2011,4,29,49.540001,50.01857,251586300,1.040001,49.535713,50.021427,50.060001,0.009747654,-0.001254205,0.001029112
2011,5,2,49.962856,49.468571,110678400,0.709999,50.01857,49.535713,50.021427,-0.010995896,-0.000247793,0.001065091
2011,5,3,49.712856,49.742859,78337000,0.61,49.468571,50.01857,49.535713,0.005544692,-4.17944E-05,0.001035744
2011,5,4,49.751427,49.938572,97312600,0.707142,49.742859,49.468571,50.01857,0.003934494,-0.000224512,0.000984872
2011,5,5,49.771427,49.535713,83992300,0.7,49.938572,49.742859,49.468571,-0.008067091,-0.000777849,0.000981614
2011,5,6,49.955715,49.522858,70033600,0.541428,49.535713,49.938572,49.742859,-0.00025951,-0.001142431,0.001110871
2011,5,9,49.694286,49.657143,51186800,0.381431,49.522858,49.535713,49.938572,0.002711576,-0.001975283,0.001342721
2011,5,10,49.841427,49.921429,70522900,0.432857,49.657143,49.522858,49.535713,0.005322215,-0.002075722,0.001702888
2011,5,11,49.860001,49.604286,84000000,0.68,49.921429,49.657143,49.522858,-0.006352843,-0.002436657,0.001993456
2011,5,12,49.445713,49.509998,80500000,0.692856,49.604286,49.921429,49.657143,-0.001900803,-0.00293715,0.002133334
2011,5,13,49.380001,48.642857,81529000,0.842858,49.509998,49.604286,49.921429,-0.017514462,-0.002744356,0.00226742
2011,5,16,48.457142,47.614285,112443800,1.23143,48.642857,49.509998,49.604286,-0.021145386,-0.001058849,0.002398143
2011,5,17,47.42857,48.02,113083600,0.772857,47.614285,48.642857,49.509998,0.008520867,-0.000866968,0.002489779
2011,5,18,48.067142,48.552856,83694100,0.721428,48.02,47.614285,48.642857,0.011096543,-0.001504443,0.002692062
2011,5,19,48.868572,48.647144,65292500,0.534286,48.552856,48.02,47.614285,0.001941966,-0.002750445,0.002943034
2011,5,20,48.508572,47.888573,84492100,0.847141,48.647144,48.552856,48.02,-0.015593331,-0.00357744,0.003150501
2011,5,23,47.138573,47.771427,95900000,0.937142,47.888573,48.647144,48.552856,-0.00244622,-0.00132774,0.003398172
2011,5,24,47.92857,47.455715,80481800,0.651428,47.771427,47.888573,48.647144,-0.006608804,-0.001605029,0.003545316
2011,5,25,47.632858,48.111427,73556000,0.815716,47.455715,47.771427,47.888573,0.013817345,-1.79618E-05,0.003696044
2011,5,26,47.995716,47.857143,55640200,0.351429,48.111427,47.455715,47.771427,-0.005285314,-0.001377502,0.003811653
2011,5,27,47.828571,48.201427,50899800,0.474285,47.857143,48.111427,47.455715,0.007193994,-0.000295571,0.00387917
2011,5,31,48.728573,49.689999,104438600,0.975712,48.201427,47.857143,48.111427,0.030882322,-0.000176348,0.003820439
2011,6,1,49.83857,49.35857,138670700,1.068573,49.689999,48.201427,47.857143,-0.006669934,-0.001820219,0.003703563
2011,6,2,49.5,49.442856,84695800,0.525715,49.35857,49.689999,48.201427,0.001707626,-0.001270238,0.003391578
2011,6,3,49.025715,49.062859,78312500,0.474289,49.442856,49.35857,49.689999,-0.007685579,-0.000274816,0.003063131
